case_id,menu_name,allergies,ground_truth,ai_prediction,confidence,status,is_correct,reason
29,ทอดมันกุ้ง,"กุ้ง, แป้งสาลี",True,True,93.99%,ALLERGY_WARN,True,มีเนื้อกุ้งและใช้เกล็ดขนมปังซึ่งทำจากแป้งสาลีในการชุบทอด
30,แกงส้มชะอมกุ้ง,"กุ้ง, ไข่",True,True,96.27%,ALLERGY_WARN,True,มีกุ้งสดและใช้ไข่ไก่ในการทอดชะอม
31,ข้าวคลุกกะปิ,กุ้ง,True,True,92.41%,ALLERGY_WARN,True,กะปิและกุ้งแห้งผลิตมาจากกุ้ง/เคย
32,ผัดผักบุ้งไฟแดง,ถั่วเหลือง,True,True,88.08%,ALLERGY_WARN,True,เต้าเจี้ยวและซีอิ๊วขาวมีถั่วเหลืองเป็นส่วนประกอบหลัก
33,ยำส้มโอ,ถั่วลิสง,True,True,85.20%,ALLERGY_WARN,True,ยำส้มโอสูตรโบราณใส่ถั่วลิสงคั่วเพื่อเพิ่มเนื้อสัมผัส
34,บะหมี่แห้งหมูแดง,แป้งสาลี,True,True,92.41%,ALLERGY_WARN,True,เส้นบะหมี่ทำมาจากแป้งสาลี
35,ห่อหมกทะเล,ปลาหมึก,True,True,92.41%,ALLERGY_WARN,True,เป็นห่อหมกทะเลที่มีส่วนผสมของปลาหมึก
36,ข้าวซอยเนื้อ,ไข่,True,False,77.73%,MANUAL_REVIEW,False,เส้นบะหมี่ข้าวซอยส่วนใหญ่เป็นบะหมี่ไข่
37,กุ้งอบวุ้นเส้น,หอย,True,True,95.26%,ALLERGY_WARN,True,มีน้ำมันหอยเป็นส่วนผสมในการปรุงรส
38,แกงมัสมั่นไก่,ถั่วลิสง,True,True,95.26%,ALLERGY_WARN,True,ถั่วลิสงเป็นเอกลักษณ์และส่วนผสมหลักของแกงมัสมั่น
39,ไข่เจียวปู,ปู,True,True,88.08%,ALLERGY_WARN,True,มีเนื้อปูเป็นวัตถุดิบชูโรง
40,ขนมจีนน้ำยาป่า,ปลา,True,True,96.27%,ALLERGY_WARN,True,น้ำยาทำมาจากเนื้อปลาต้มและโขลกผสมกับพริกแกง
41,แมคกะโรนีอบชีส,นม,True,True,93.99%,ALLERGY_WARN,True,มีเชดดาร์ชีส นมสด และเนย ซึ่งทั้งหมดเป็นผลิตภัณฑ์จากนม
42,ซีซาร์สลัด,ปลา,True,True,95.26%,ALLERGY_WARN,True,มีปลาแอนโชวี่เป็นส่วนผสมหลักในการทำน้ำสลัดซีซาร์
43,บีฟเวลลิงตัน,แป้งสาลี,True,True,95.26%,ALLERGY_WARN,True,แป้งพัฟเพสตรี้ที่ใช้ห่อเนื้อมีส่วนผสมของแป้งสาลี
44,ฟิชแอนด์ชิปส์,ปลาหมึก,False,False,77.73%,MANUAL_REVIEW,True,เป็นเมนูปลาและมันฝรั่งทอด ไม่มีปลาหมึก
45,ซุปข้นล็อบสเตอร์,กุ้ง,True,True,90.46%,ALLERGY_WARN,True,กุ้งล็อบสเตอร์จัดอยู่ในกลุ่มสัตว์ทะเลเปลือกแข็งประเภทกุ้ง
46,ริซอตโต้เห็ด,ถั่วลิสง,False,False,88.08%,SAFE,True,ไม่มีถั่วลิสงเป็นส่วนผสมในเมนูนี้
47,ซุปหอยลายข้น,หอย,True,True,92.41%,ALLERGY_WARN,True,มีหอยลายเป็นส่วนผสมหลัก
48,สปาเก็ตตี้มีทบอล,ไข่,True,True,93.99%,ALLERGY_WARN,True,มีการใช้ไข่ไก่เป็นส่วนผสมในการปั้นมีทบอลให้จับตัวกัน
49,พิซซ่ามาร์เกริต้า,นม,True,True,95.26%,ALLERGY_WARN,True,มอสซาเรลล่าชีสทำมาจากนม
50,เอ้กเบเนดิกต์,ปู,False,False,90.47%,SAFE,True,ไม่มีเนื้อปูในส่วนผสม
51,ทงคัตสึ,แป้งสาลี,True,True,92.41%,ALLERGY_WARN,True,มีการคลุกแป้งสาลีและเกล็ดขนมปัง(ทำจากแป้งสาลี)ก่อนนำไปทอด
52,เทมปุระกุ้ง,กุ้ง,True,True,97.07%,ALLERGY_WARN,True,กุ้งสดเป็นวัตถุดิบหลักในการทำเทมปุระกุ้ง
53,ทาโกะยากิ,ปลาหมึก,True,True,92.41%,ALLERGY_WARN,True,ทาโกะ (ปลาหมึกยักษ์) เป็นไส้หลักของเมนูนี้
54,ซาชิมิแซลมอน,ถั่วเหลือง,True,True,77.73%,MANUAL_REVIEW,True,โชยุ (ซีอิ๊วญี่ปุ่น) ที่ใช้ทานคู่กัน หมักมาจากถั่วเหลือง
55,ซุปมิโซะ,ถั่วเหลือง,True,True,88.08%,ALLERGY_WARN,True,เต้าหู้อ่อนและมิโซะ(เต้าเจี้ยวญี่ปุ่น) ทำมาจากถั่วเหลือง
56,ชิกเก้นทิกก้ามาซาล่า,นม,True,True,95.26%,ALLERGY_WARN,True,มีโยเกิร์ต เนย และครีมสด ซึ่งล้วนเป็นผลิตภัณฑ์ที่ทำจากนม
57,ปาลักปะนีร์,นม,True,True,96.27%,ALLERGY_WARN,True,ชีสปะนีร์ เนยใส(Ghee) และครีมสด มีส่วนผสมหลักคือนมวัว
58,ข้าวหมกไก่อินเดีย,ถั่วเปลือกแข็ง,False,False,85.20%,SAFE,True,ไม่มีส่วนผสมของถั่วเปลือกแข็งในเมนูนี้
59,แป้งนานกระเทียม,แป้งสาลี,True,True,92.41%,ALLERGY_WARN,True,แป้งนานเป็นขนมปังแผ่นแบนที่ทำมาจากแป้งสาลี
60,ดาลมักกานี,ไข่,False,False,85.20%,SAFE,True,แกงถั่วอินเดียจานนี้ไม่มีส่วนผสมของไข่
61,ขนมครก,นม,False,False,92.41%,SAFE,True,ขนมครกใช้กะทิจากมะพร้าว ไม่ได้ใช้นมวัว
62,บัวลอยไข่หวาน,ไข่,True,True,96.27%,ALLERGY_WARN,True,มีการตอกไข่ไก่ลงไปต้มในน้ำกะทิ
63,ข้าวเหนียวมะม่วง,แป้งสาลี,False,False,88.08%,SAFE,True,ใช้ข้าวเหนียวมูน ไม่มีส่วนผสมของแป้งสาลี
64,สังขยาฟักทอง,ไข่,True,True,97.70%,ALLERGY_WARN,True,ตัวสังขยามีส่วนผสมหลักคือไข่เป็ด
65,ทองหยอด,ไข่,True,True,97.07%,ALLERGY_WARN,True,ทำจากไข่แดงของไข่เป็ดและไข่ไก่
66,ขนมเบื้องไทย,ไข่,True,True,92.41%,ALLERGY_WARN,True,ครีมสีขาวทำจากการตีไข่ขาว และฝอยทองทำจากไข่แดง
67,ขนมหม้อแกง,ไข่,True,True,96.27%,ALLERGY_WARN,True,เนื้อขนมหม้อแกงมีส่วนผสมของไข่เป็ด
68,โรตีสายไหม,แป้งสาลี,True,True,96.27%,ALLERGY_WARN,True,แผ่นแป้งห่อโรตีทำมาจากแป้งสาลี
69,ทับทิมกรอบ,นม,False,False,92.41%,SAFE,True,ใช้น้ำกะทิเป็นส่วนผสมของน้ำกะทิราด ไม่ได้ใช้นม
70,กล้วยบวชชี,แป้งสาลี,False,False,93.99%,SAFE,True,เมนูนี้ไม่มีการใช้แป้งสาลีเป็นส่วนประกอบ
71,ขนมโตเกียวไส้ครีม,"แป้งสาลี, ไข่, นม",True,True,92.41%,ALLERGY_WARN,True,ตัวแป้งและไส้ครีมมีส่วนผสมของแป้งสาลี ไข่ไก่ และนมสด
72,ขนมถั่วแปบ,ถั่วลิสง,False,False,93.99%,SAFE,True,ไส้ด้านในทำจากถั่วเขียวซีกกวน ไม่ใช่ถั่วลิสง
73,ไอศกรีมกะทิสดเครื่องรวม,"ถั่วลิสง, นม",True,True,95.26%,ALLERGY_WARN,True,มีการโรยถั่วลิสงคั่วเป็นท็อปปิ้ง และใช้นมข้นจืดราดหน้า
74,ข้าวเหนียวสังขยา,ไข่,True,True,95.26%,ALLERGY_WARN,True,หน้าสังขยามีไข่เป็ดเป็นส่วนผสมหลัก
75,ลูกชุบ,ถั่วเหลือง,False,False,77.73%,MANUAL_REVIEW,True,เนื้อลูกชุบทำจากถั่วเขียวซีกกวน ไม่ใช่ถั่วเหลือง
76,ขนมถ้วย,นม,False,False,90.47%,SAFE,True,หน้าขนมและตัวขนมทำจากกะทิ ไม่ใช่นมวัว
77,ลอดช่องไทย,แป้งสาลี,False,False,81.76%,SAFE,True,เส้นลอดช่องทำจากแป้งข้าวเจ้าและแป้งมัน ไม่ใช่แป้งสาลี
78,ซ่าหริ่ม,นม,False,False,88.08%,SAFE,True,ทานคู่น้ำกะทิอบควันเทียน ไม่ได้ใช้นมวัว
79,ขนมตาล,แป้งสาลี,False,False,85.20%,SAFE,True,ใช้แป้งข้าวเจ้าเป็นส่วนผสมหลักในการทำเนื้อขนม
80,เม็ดขนุน,ไข่,True,True,98.59%,ALLERGY_WARN,True,มีการนำถั่วกวนไปชุบในไข่แดงเพื่อเคลือบผิวด้านนอก
81,ฮัมมุส,ถั่วลิสง,False,False,88.08%,SAFE,True,ฮัมมุสทำจากถั่วลูกไก่และงา (ตาฮินี) ไม่มีส่วนผสมของถั่วลิสง
82,ฟาลาเฟล,แป้งสาลี,True,True,93.99%,ALLERGY_WARN,True,มีการใช้แป้งสาลีเล็กน้อยเพื่อช่วยให้ส่วนผสมจับตัวกันตอนทอด
83,ชาวาม่าไก่,นม,True,True,90.47%,ALLERGY_WARN,True,ใช้โยเกิร์ตซึ่งทำจากนมในการหมักเนื้อไก่ให้นุ่ม
84,บาบากานุช,นม,False,False,88.08%,SAFE,True,เมนูนี้ใช้เนื้อมะเขือม่วงบดผสมงา ไม่มีส่วนผสมของผลิตภัณฑ์จากนม
85,คับซ่าแกะ,ถั่วเปลือกแข็ง,True,True,90.47%,ALLERGY_WARN,True,มีการใช้อัลมอนด์ซึ่งเป็นถั่วเปลือกแข็งโรยหน้า
86,สลัดทาบูเลห์,แป้งสาลี,True,True,93.99%,ALLERGY_WARN,True,ข้าวบุลกูร (Bulgur) คือข้าวสาลีที่นำมาต้มและบดหยาบ
87,ชักชูกะฮ์,ไข่,True,True,93.99%,ALLERGY_WARN,True,ไข่ไก่ต้มน้ำในซอสมะเขือเทศเป็นวัตถุดิบหลักของจานนี้
88,มันดี้ไก่,ถั่วเปลือกแข็ง,True,True,85.20%,ALLERGY_WARN,True,ถั่วไพน์นัท (สน) จัดอยู่ในกลุ่มถั่วเปลือกแข็งที่อาจก่อให้เกิดอาการแพ้ได้
89,ชีชคบับเนื้อ,ปลา,False,False,88.08%,SAFE,True,เป็นเนื้อวัวเสียบไม้ย่าง ไม่มีส่วนผสมของปลา
90,มูตาบัล,นม,True,True,93.99%,ALLERGY_WARN,True,มูตาบัลคล้ายบาบากานุชแต่มีการใส่โยเกิร์ต (ทำจากนม) เพิ่มลงไป
91,ทิรามิสุ,นม,True,True,93.99%,ALLERGY_WARN,True,มาสคาร์โปนชีสเป็นชีสที่ทำมาจากนม
92,มาการอง,ถั่วเปลือกแข็ง,True,True,90.47%,ALLERGY_WARN,True,ฝามาการองทำมาจากอัลมอนด์ป่นซึ่งเป็นถั่วเปลือกแข็ง
93,ชีสเค้กหน้าไหม้,แป้งสาลี,False,False,92.41%,SAFE,True,สูตรชีสเค้กหน้าไหม้ (Basque Cheesecake) แบบดั้งเดิมไม่ใส่แป้งสาลี หรือใช้เพียงแป้งข้าวโพดเล็กน้อย
94,พานาคอตต้า,นม,True,True,95.26%,ALLERGY_WARN,True,มีครีมสดและนมสดเป็นส่วนผสมหลักในการทำพุดดิ้ง
95,บราวนี่,แป้งสาลี,True,True,93.99%,ALLERGY_WARN,True,ใช้แป้งสาลีเป็นส่วนประกอบหลักของเนื้อขนม
96,เครปฝรั่งเศส,ถั่วลิสง,False,False,73.11%,MANUAL_REVIEW,True,แป้งเครปพื้นฐานไม่มีส่วนผสมของถั่วลิสง
97,ชูโรส,ไข่,True,True,93.99%,ALLERGY_WARN,True,แป้งชู (Choux) ที่นำมาทำชูโรสมีส่วนผสมของไข่ไก่
98,วาฟเฟิลเบลเยียม,นม,True,True,92.41%,ALLERGY_WARN,True,ใช้นมสดและเนยในการผสมแป้งวาฟเฟิล
99,บาคลาวา,ถั่วเปลือกแข็ง,True,True,97.07%,ALLERGY_WARN,True,ใช้ถั่วพิสตาชิโอและวอลนัทเป็นไส้หลักของขนม ซึ่งทั้งคู่คือถั่วเปลือกแข็ง
100,คานาเล่,ปลา,False,False,92.41%,SAFE,True,เป็นขนมอบสไตล์ฝรั่งเศส ไม่มีส่วนประกอบของเนื้อสัตว์หรือปลา
